Config,Opponent,Game_ID,Q_Starts,Outcome,Moves,Total_Reward
improved,RandomAgent,60,False,Loss,10,-1.09
improved,RandomAgent,61,False,Loss,7,-1.06
improved,RandomAgent,62,False,Win,11,0.9
improved,RandomAgent,63,False,Win,8,0.9299999999999999
improved,RandomAgent,64,False,Loss,9,-1.08
improved,RandomAgent,65,False,Loss,12,-1.1099999999999999
improved,RandomAgent,66,False,Loss,7,-1.06
improved,RandomAgent,67,False,Loss,9,-1.08
improved,RandomAgent,68,False,Win,10,0.91
improved,RandomAgent,69,False,Loss,9,-1.08
improved,RandomAgent,70,False,Loss,10,-1.09
improved,RandomAgent,71,False,Win,11,0.9
improved,RandomAgent,72,False,Loss,9,-1.08
improved,RandomAgent,73,False,Win,8,0.9299999999999999
improved,RandomAgent,74,False,Draw,12,-0.10999999999999999
improved,RandomAgent,75,False,Win,11,0.9
improved,RandomAgent,76,False,Win,10,0.91
improved,RandomAgent,77,False,Win,11,0.9
improved,RandomAgent,78,False,Loss,9,-1.08
improved,RandomAgent,79,False,Loss,8,-1.07
improved,RandomAgent,80,False,Win,8,0.9299999999999999
improved,RandomAgent,81,False,Win,8,0.9299999999999999
improved,RandomAgent,82,False,Loss,7,-1.06
improved,RandomAgent,83,False,Win,9,0.92
improved,RandomAgent,84,False,Draw,12,-0.10999999999999999
improved,RandomAgent,85,False,Win,12,0.89
improved,RandomAgent,86,False,Loss,8,-1.07
improved,RandomAgent,87,False,Loss,8,-1.07
improved,RandomAgent,88,False,Loss,12,-1.1099999999999999
improved,RandomAgent,89,False,Win,12,0.89
improved,RandomAgent,90,False,Win,12,0.89
improved,RandomAgent,91,False,Win,9,0.92
improved,RandomAgent,92,False,Loss,8,-1.07
improved,RandomAgent,93,False,Loss,8,-1.07
improved,RandomAgent,94,False,Loss,9,-1.08
improved,RandomAgent,95,False,Win,8,0.9299999999999999
improved,RandomAgent,96,False,Win,6,0.95
improved,RandomAgent,97,False,Loss,10,-1.09
